event.deviceEventClassId,set.event.categoryObject,set.event.categoryBehavior,set.event.categoryTechnique,set.event.categoryDeviceGroup,set.event.categorySignificance,set.event.categoryOutcome,set.event.originator
11000012,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
11000013,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
11000014,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
15000000,/Network,/Modify/Configuration,,/Firewall,/Informational,/Success,Source
15000001,/Network,/Modify/Configuration,,/Firewall,/Informational,/Success,Source
15010000,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
15010001,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
16000001,/Network,/Execute/Query,,/Network Equipment,/Informational/Error,/Failure,Source
16000002,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
16000003,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
23000001,/Network,/Execute/Query,,/Firewall,/Informational/Error,/Failure,Source
23000002,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
25000000,/Network,/Authentication/Verify,,/VPN,/Informational,/Success,Source
25000001,/Network,/Access/Stop,,/VPN,/Informational,/Success,Source
30000004,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
30000005,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
30000006,/Network,/Modify/Attribute,,/Firewall,/Informational,/Success,Source
30000007,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
30000027,/Network,/Execute/Query,,/Firewall,/Informational,/Attempt,Source
30000028,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
30000029,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
30000040,/Network,/Execute/Query,/Traffic Anomaly/Network Layer,/Firewall,/Informational,/Success,Source
30000065,/Network,/Check,,/Firewall,/Informational,/Success,Source
30000148,/Network,/Communicate,,/Firewall,/Informational,/Success,Source
30000149,/Network,/Communicate,,/Firewall,/Informational,/Success,Source
30000150,/Network,/Communicate,/Traffic Anomaly/Network Layer,/Firewall,/Suspicious,/Success,Source
30000151,/Network,/Communicate,,/Firewall,/Informational,/Success,Source
30000152,/Network,/Communicate,/Traffic Anomaly/Network Layer,/Firewall,/Suspicious,/Success,Source
30000153,/Network,/Communicate,/DoS,/Firewall,/Suspicious,/Success,Source
30000154,/Network,/Communicate,/DoS,/Firewall,/Suspicious,/Success,Source
30000155,/Network,/Communicate,/DoS,/Firewall,/Suspicious,/Success,Source
30000156,/Network,/Communicate,/DoS,/Firewall,/Suspicious,/Success,Source
30000157,/Network,/Communicate,/DoS,/Firewall,/Suspicious,/Success,Source
30000158,/Network,/Communicate,/Traffic Anomaly/Network Layer,/Firewall,/Recon,/Success,Source
30000159,/Network,/Communicate,/Scan/Port,/Firewall,/Recon,/Success,Source
30000160,/Network,/Execute/Query,/DoS,/Firewall,/Informational,/Success,Source
30000161,/Network,/Communicate,/DoS,/Firewall,/Suspicious,/Success,Source
30000162,/Network,/Communicate,/DoS,/Firewall,/Suspicious,/Success,Source
30000163,/Network,/Communicate,/DoS,/Firewall,/Suspicious,/Success,Source
30000164,/Network,/Communicate,/DoS,/Firewall,/Suspicious,/Success,Source
30000165,/Network,/Communicate,/DoS,/Firewall,/Suspicious,/Success,Source
30000165,/Network,/Communicate,/DoS,/Firewall,/Suspicious,/Success,Source
30000166,/Network,/Communicate,/DoS,/Firewall,/Suspicious,/Success,Source
30000167,/Network,/Communicate,/Traffic Anomaly/Network Layer,/Firewall,/Suspicious,/Success,Source
30000167,/Network,/Communicate,/Traffic Anomaly/Network Layer,/Firewall,/Suspicious,/Success,Source
30000168,/Network,/Execute/Query,/Traffic Anomaly/Network Layer,/Firewall,/Informational,/Success,Source
30000169,/Network,/Execute/Query,/Traffic Anomaly/Network Layer,/Firewall,/Informational,/Success,Source
30000171,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
30000172,/Network,/Execute/Query,/Traffic Anomaly/Network Layer,/Firewall,/Informational,/Success,Source
30000173,/Network,/Communicate,/Traffic Anomaly/Network Layer,/Firewall,/Hostile,/Success,Source
30011001,/Network,/Execute/Query,/Traffic Anomaly/Network Layer,/Firewall,/Informational,/Success,Source
31000003,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
31000004,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
31000009,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
31000010,/Network,/Communicate/Query,,/Network Equipment,/Informational/Error,/Failure,Source
31000029,/Network,/Communicate/Query,,/Network Equipment,/Informational/Error,/Failure,Source
31000030,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
31000031,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
31000034,/Network,/Modify/Attribute,,/Network Equipment,/Informational,/Success,Source
31000035,/Network,/Communicate/Query,,/Network Equipment,/Informational/Error,/Failure,Source
31000036,/Network,/Communicate,,/Network Equipment,/Informational,/Success,Source
31000037,/Network,/Communicate,,/Network Equipment,/Informational,/Success,Source
31000038,/Network,/Modify/Attribute,,/Network Equipment,/Informational,/Success,Source
31000039,/Network,/Modify/Attribute,,/Network Equipment,/Informational,/Success,Source
31000046,/Network,/Execute/Query,,/Network Equipment,/Informational,/Attempt,Source
31000047,/Network,/Execute/Query,,/Network Equipment,/Informational,/Attempt,Source
31000050,/Network,/Execute/Query,,/Network Equipment,/Informational,/Attempt,Source
31000051,/Network,/Execute/Query,,/Network Equipment,/Informational,/Attempt,Source
31000052,/Network,/Execute/Query,,/Network Equipment,/Informational,/Attempt,Source
31000054,/Network,/Execute/Query,/Traffic Anomaly/Application Layer/Man in the Middle,/Network Equipment,/Informational,/Success,Source
31000055,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
31000056,/Network,/Execute/Query,/Traffic Anomaly/Application Layer/Man in the Middle,/Network Equipment,/Informational,/Success,Source
31000057,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
31000058,/Network,/Modify/Attribute,,/Network Equipment,/Informational,/Success,Source
31000059,/Network,/Modify/Attribute,,/Network Equipment,/Informational,/Success,Source
31000069,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
31000070,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
31000071,/Network,/Modify/Attribute,,/Network Equipment,/Informational,/Failure,Source
31000072,/Network,/Modify/Attribute,,/Network Equipment,/Informational,/Failure,Source
31000073,/Network,/Modify/Attribute,,/Network Equipment,/Informational,/Failure,Source
31000074,/Network,/Modify/Attribute,,/Network Equipment,/Informational,/Failure,Source
31000075,/Network,/Execute/Query,,/Network Equipment,/Informational/Error,/Failure,Source
31130001,/Network,/Check/Security,,/Network Equipment,/Informational/Error,/Success,Source
38000002,/Network,/Execute/Query,,/Firewall,/Informational/Error,/Success,Source
38000003,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
38000004,/Network,/Execute/Query,,/Firewall,/Informational/Warning,/Failure,Source
38000264,/Network,/Execute/Query,,/Firewall,/Informational/Warning,/Failure,Source
38000278,/Network,/Execute/Query,,/Firewall,/Informational/Warning,/Success,Source
38000279,/Network,/Modify/Attribute,,/Firewall,/Informational/Warning,/Success,Source
38000280,/Network,/Execute/Query,,/Firewall,/Informational/Error,/Failure,Source
38000282,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
39000003,/Network,/Execute/Query,,/Firewall,/Informational/Warning,/Failure,Source
39000005,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
39000007,/Network,/Execute/Query,,/Firewall,/Informational/Error,/Failure,Source
39000010,/Network,/Modify/Attribute,,/Firewall,/Informational,/Success,Source
39000011,/Network,/Modify/Attribute,,/Firewall,/Informational,/Success,Source
39000012,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
39000015,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
39000016,/Network,/Execute/Query,,/Firewall,/Informational/Warning,/Failure,Source
39000019,/Network,/Modify/Attribute,,/Firewall,/Informational/Error,/Failure,Source
39000058,/Network,/Modify/Attribute,,/Firewall,/Informational,/Success,Source
40010001,/Network,/Modify/Attribute,,/Firewall,/Informational,/Success,Source
40010002,/Network,/Modify/Attribute,,/Firewall,/Informational/Error,/Failure,Source
41000001,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
41000002,/Network,/Execute/Query,,/Firewall,/Informational/Error,/Failure,Source
41000003,/Network,/Modify/Attribute,,/Firewall,/Informational,/Success,Source
41000004,/Network,/Modify/Attribute,,/Firewall,/Informational/Error,/Failure,Source
41000005,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
41000006,/Network,/Execute/Query,,/Firewall,/Informational/Error,/Failure,Source
41000007,/Network,/Modify/Attribute,,/Firewall,/Informational,/Success,Source
41000008,/Network,/Modify/Attribute,,/Firewall,/Informational/Error,/Failure,Source
41010001,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
41010002,/Network,/Execute/Query,,/Firewall,/Informational/Error,/Failure,Source
45000001,/Network,/Execute/Query,,/Network Equipment,/Informational/Error,/Failure,Source
45000003,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
45000004,/Network,/Authorization/Verify,,/Network Equipment,/Informational/Error,/Failure,Source
50000001,/Network,/Authentication/Verify,,/Firewall,/Informational/Warning,/Failure,Source
54000001,/Network,/Check/Security,,/Network Equipment,/Informational,/Success,Source
54000002,/Network,/Check/Security,,/Network Equipment,/Informational,/Success,Source
54000003,/Network,/Execute/Query,,/Network Equipment,/Informational/Warning,/Success,Source
54000004,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
55010000,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
55010002,/Network,/Execute/Query,,/Firewall,/Informational/Error,/Failure,Source
55010003,/Network,/Execute/Query,,/Firewall,/Informational/Error,/Failure,Source
55010004,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
55010005,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
55010006,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
55010007,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
55010008,/Network,/Modify/Attribute,,/Firewall,/Informational,/Success,Source
55010010,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
55010013,/Network,/Check,,/Firewall,/Informational,/Success,Source
55010014,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
55010015,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
55010016,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
55010017,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
55010018,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
55010019,/Network,/Execute/Query,,/Firewall,/Informational/Warning,/Failure,Source
55010020,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
55010021,/Network,/Check,,/Firewall,/Informational,/Success,Source
55010022,/Network,/Check,,/Firewall,/Informational,/Success,Source
56000001,/Network,/Modify/Attribute,,/Network Equipment,/Informational,/Success,Source
56000002,/Network,/Execute/Query,,/Network Equipment,/Informational,/Failure,Source
56000003,/Network,/Execute/Query,,/Network Equipment,/Informational,/Failure,Source
56010001,/Network,/Execute/Query,,/Network Equipment,/Informational/Warning,/Failure,Source
56010002,/Host/Application/License,/Check/Configuration,,/Network Equipment,/Informational/Error,/Failure,Source
